cp,artist,song,section,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"1,5,6,4",sum 41,confusion and frustration in modern times,intro and verse,4ZYxBJBmOG2n3dsV2iWrNF,0.427,0.978,11,-3.544,1,0.104,0.000938,3.48e-05,0.309,0.348,117.159,226147,4
"1,5,6,4",sum 41,confusion and frustration in modern times,verse and pre-chorus,4ZYxBJBmOG2n3dsV2iWrNF,0.427,0.978,11,-3.544,1,0.104,0.000938,3.48e-05,0.309,0.348,117.159,226147,4
"1,5,6,4",sum 41,walking disaster,chorus,7xuhVUJmBpHR276Yc7AsgW,0.285,0.943,11,-3.06,1,0.0957,0.0057,0.0,0.151,0.429,111.231,286373,4
"1,5,6,4",tiesto and allure,pair of dice,chorus,,,,,,,,,,,,,,
"1,5,6,4",jeff marx and robert lopez,the internet is for porn,verse and pre-chorus,,,,,,,,,,,,,,
"1,5,6,4",lady gaga,paparazzi,chorus,16Me2jlMlTX4xsps2j71mC,0.755,0.688,8,-3.97,1,0.0535,0.0947,0.0,0.0852,0.429,114.928,208307,4
"1,5,6,4",linkin park,castle of glass,chorus,1r1fPuhj9H4VdXr7OK6FL5,0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0,205400,4
"1,5,6,4",yiruma,river flows in you,intro and verse,47ZWr1Nb0PUgmKgyg5JkgO,0.31,0.218,9,-21.398,1,0.0507,0.988,0.952,0.085,0.0969,145.074,185527,4
"1,5,6,4",roxette,listen to your heart,chorus,78TnMTAFmWUWWCgNXR7D3K,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,328093,4
"1,5,6,4",lady gaga,alejandro,chorus,15pu8u4n3q4BKl4tF20c5v,0.632,0.789,11,-6.61,0,0.0557,0.00043,0.00144,0.356,0.35,98.986,274213,4
"1,5,6,4",toto,africa,chorus,2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,1,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,295893,4
"1,5,6,4",the avett brothers,life,verse,7yqO8vYeyf8ahnLj9vOZ4G,0.412,0.244,11,-12.071,1,0.0292,0.535,0.000942,0.112,0.186,134.643,224133,4
"1,5,6,4",tidal wave,sub focus,instrumental,,,,,,,,,,,,,,
"1,5,6,4",taylor swift,stay stay stay,bridge,0dAb8TY433dl3ZfXYCLE19,0.602,0.735,5,-5.778,1,0.0337,0.00196,4.77e-05,0.105,0.472,96.969,193293,4
"1,5,6,4",edward maya,stereo love,instrumental,11Iv8RCFmeImLOpaHYxKb4,0.775,0.726,9,-5.629,1,0.0369,0.0399,0.0235,0.11,0.206,126.999,185120,4
"1,5,6,4",deep blue something,breakfast at tiffany's,chorus,1uzWOoJdADfstQuFtQFTUn,0.628,0.829,2,-5.484,1,0.0293,0.12,0.0,0.097,0.503,110.377,257373,4
"1,5,6,4",rome,seasons,chorus,28Hl8K8Eai4jIDHiAEfrn7,0.58,0.854,10,-6.801,1,0.0672,0.143,0.0,0.12,0.789,170.006,210317,4
"1,5,6,4",rio,living in stereo,chorus,,,,,,,,,,,,,,
"1,5,6,4",rio,living in stereo,pre-chorus,,,,,,,,,,,,,,
"1,5,6,4",britney spears,born to make you happy,intro,4l1MNtoCiTxBwf6yxD7kFd,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,243533,4
"1,5,6,4",britney spears,born to make you happy,chorus,4l1MNtoCiTxBwf6yxD7kFd,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,243533,4
"1,5,6,4",axis of awesome,four chord songs,chorus,,,,,,,,,,,,,,
"1,5,6,4",passion pit,take a walk,chorus,4Sfa7hdVkqlM8UW5LsSY3F,0.566,0.755,11,-5.526,1,0.0368,0.0338,0.0,0.315,0.445,101.006,264493,4
"1,5,6,4",passenger,let her go,chorus,6GmUVqe73u5YRfUUynZK6I,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897,252733,4
"1,5,6,4",charles jenkins,awesome,verse,0oA7qqMEL8R044XA699F00,0.603,0.771,1,-6.109,0,0.0556,0.484,0.0,0.373,0.255,127.989,349147,4
"1,5,6,4",charles jenkins,awesome,verse and pre-chorus,0oA7qqMEL8R044XA699F00,0.603,0.771,1,-6.109,0,0.0556,0.484,0.0,0.373,0.255,127.989,349147,4
"1,5,6,4",enrique iglesias,escape,chorus,6KRi6CBUitENJB4HQbSVSD,0.778,0.851,11,-5.288,1,0.0297,0.033,0.00106,0.152,0.881,125.993,208040,4
"1,5,6,4",enrique iglesias,dimelo,chorus,2z0z5ddJS3K7qvhp4PH0Aa,0.781,0.749,8,-4.405,1,0.043,0.0672,0.0,0.0277,0.788,115.028,217933,4
"1,5,6,4",jo blankenburg,illumielle,intro,1jD7cH2qoB2Fi2lVeqntgp,0.409,0.485,5,-11.906,1,0.0336,0.809,0.783,0.137,0.273,139.987,161153,3
"1,5,6,4",cyndi lauper,time after time,chorus,1Jj6MF0xDOMA3Ut2Z368Bx,0.724,0.436,0,-9.321,1,0.0282,0.576,1.19e-06,0.0908,0.324,130.439,243067,4
"1,5,6,4",lindsey stirling,transcendence,intro,1vwEwDzfHlcdZssRaVkhEj,0.545,0.847,0,-6.488,1,0.0318,0.00181,0.764,0.231,0.208,126.936,225200,4
"1,5,6,4",blink 182,what's my age again,verse,,,,,,,,,,,,,,
"1,5,6,4",blink 182,what's my age again,chorus,,,,,,,,,,,,,,
"1,5,6,4",the cars,just what i needed,pre-chorus,4alHo6RGd0D3OUbTPExTHN,0.619,0.579,4,-9.307,1,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,225627,4
"1,5,6,4",red hot chili peppers,otherside,chorus,64BbK9SFKH2jk86U3dGj2P,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4
"1,5,6,4",armin van buuren,this is what it feels like,verse,5GjnIpUlLGEIYk052ISOw9,0.552,0.831,8,-5.217,1,0.0298,0.0391,2.93e-06,0.0632,0.144,129.889,204360,5
"1,5,6,4",armin van buuren,this is what it feels like,pre-chorus,5GjnIpUlLGEIYk052ISOw9,0.552,0.831,8,-5.217,1,0.0298,0.0391,2.93e-06,0.0632,0.144,129.889,204360,5
"1,5,6,4",armin van buuren,this is what it feels like,chorus,5GjnIpUlLGEIYk052ISOw9,0.552,0.831,8,-5.217,1,0.0298,0.0391,2.93e-06,0.0632,0.144,129.889,204360,5
"1,5,6,4",demi lovato,heart attack,verse,1V6gIisPpYqgFeWbMLI0bA,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,210840,4
"1,5,6,4",fall out boy,my songs know what you did in the dark,pre-chorus and chorus,2E43WFS4rRc09za2r2GmZl,0.557,0.922,9,-4.335,0,0.065,0.0342,6.69e-06,0.529,0.524,151.989,186827,4
"1,5,6,4",plastic tree,mizuiro girlfriend,verse and pre-chorus,,,,,,,,,,,,,,
"1,5,6,4",deitrick haddon,he's able,chorus,,,,,,,,,,,,,,
"1,5,6,4",charles jenkins,awesome,intro,0oA7qqMEL8R044XA699F00,0.603,0.771,1,-6.109,0,0.0556,0.484,0.0,0.373,0.255,127.989,349147,4
"1,5,6,4",florida georgia line,get your shine on,chorus,6s9ICeczYOfbHHIaSMq9jd,0.497,0.927,0,-4.52,1,0.0371,0.00286,1.26e-06,0.413,0.607,96.991,222013,4
"1,5,6,4",o zone,dragostea din tei,intro,4rPLXgafE7QzpWGUPR2Nfy,0.669,0.887,11,-6.498,0,0.0295,0.0412,0.0,0.094,0.805,130.04,213213,4
"1,5,6,4",o zone,dragostea din tei,verse and pre-chorus,4rPLXgafE7QzpWGUPR2Nfy,0.669,0.887,11,-6.498,0,0.0295,0.0412,0.0,0.094,0.805,130.04,213213,4
"1,5,6,4",o zone,dragostea din tei,chorus lead-out,4rPLXgafE7QzpWGUPR2Nfy,0.669,0.887,11,-6.498,0,0.0295,0.0412,0.0,0.094,0.805,130.04,213213,4
"1,5,6,4",basshunter,all i ever wanted,verse,0lhlNZ2Oe3LQHVuuR2W7k3,0.645,0.986,4,-7.058,1,0.0513,0.168,0.0147,0.19,0.514,144.972,176453,4
"1,5,6,4",italobrothers,stamp on the ground,pre-chorus,4VTRlB4KVaNfm7ZbMOKLNT,0.622,0.821,11,-7.626,0,0.0602,0.221,0.00534,0.111,0.281,149.998,196998,4
"1,5,6,4",italobrothers,stamp on the ground,instrumental,4VTRlB4KVaNfm7ZbMOKLNT,0.622,0.821,11,-7.626,0,0.0602,0.221,0.00534,0.111,0.281,149.998,196998,4
"1,5,6,4",klaus badelt,he's a pirate,verse,,,,,,,,,,,,,,
"1,5,6,4",britney spears,you drive me crazy,pre-chorus and chorus,1DSJNBNhGZCigg9ll5VeZv,0.748,0.939,0,-4.288,0,0.0341,0.0534,0.0,0.32,0.96,104.001,198067,4
"1,5,6,4",imogen heap,hide and seek,verse,7mMlbJlXXo2mRtQ4R9sIzD,0.451,0.166,9,-11.125,1,0.0696,0.909,0.0,0.19,0.0901,121.123,268980,4
"1,5,6,4",imogen heap,hide and seek,pre-chorus,7mMlbJlXXo2mRtQ4R9sIzD,0.451,0.166,9,-11.125,1,0.0696,0.909,0.0,0.19,0.0901,121.123,268980,4
"1,5,6,4",iyaz,replay,chorus,5vlEg2fT4cFWAqU5QptIpQ,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,182307,4
"1,5,6,4",kelly clarkson,behind these hazel eyes,verse and pre-chorus,0AKAxdNkwq9ZxRdW1DN9zW,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,198973,4
"1,5,6,4",kelly clarkson,behind these hazel eyes,chorus,0AKAxdNkwq9ZxRdW1DN9zW,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,198973,4
"1,5,6,4",kelly clarkson,behind these hazel eyes,bridge,0AKAxdNkwq9ZxRdW1DN9zW,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,198973,4
"1,5,6,4",mike candys,everybody,intro and verse,0BOKPwDkzLW9cmdgPhaXiF,0.76,0.837,5,-2.782,0,0.118,0.11,1.59e-05,0.0615,0.701,127.967,179789,4
"1,5,6,4",mike candys,everybody,pre-chorus and chorus,0BOKPwDkzLW9cmdgPhaXiF,0.76,0.837,5,-2.782,0,0.118,0.11,1.59e-05,0.0615,0.701,127.967,179789,4
"1,5,6,4",cady groves,love actually,chorus,3cXEhlI2PKHEjDt39I2upA,0.655,0.918,7,-3.181,1,0.0378,0.00368,0.000118,0.522,0.668,125.07,229120,4
"1,5,6,4",nelly,just a dream,instrumental,3ZdJffjzJWFimSQyxgGIxN,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917,237800,4
"1,5,6,4",taylor swift,love story,chorus,1D4PL9B8gOg78jiHg3FvBb,0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,236267,4
"1,5,6,4",the veronicas,everything i'm not,chorus,1Ofm6uBEI1kBfztltCyQpd,0.644,0.751,10,-4.224,1,0.0375,0.0027,0.000134,0.119,0.621,133.925,201973,4
"1,5,6,4",the veronicas,4ever,chorus,4ECvB9frSDegHfKNRh9dwT,0.581,0.857,5,-2.21,0,0.0627,0.00168,0.000166,0.0967,0.565,145.941,208973,4
"1,5,6,4",backstreet boys,the one,chorus,44kgtDJyAFv4Z01z7bIxco,0.663,0.934,5,-4.227,0,0.0348,0.0646,0.0,0.164,0.621,110.031,226933,4
"1,5,6,4",asher roth,i love college,chorus,1akgiRM3mN2nxu2AX6ACCW,0.708,0.815,8,-4.044,1,0.25,0.107,0.0,0.326,0.657,86.493,241933,4
"1,5,6,4",john mayer,waiting on the world to change,chorus,5imShWWzwqfAJ9gXFpGAQh,0.577,0.756,2,-5.82,1,0.115,0.159,0.000232,0.249,0.663,176.75,201173,4
"1,5,6,4",shania twain,that don't impress me much,verse and pre-chorus,0KvLsZYwodakWxOQUYAR5I,0.745,0.869,10,-4.828,0,0.0574,0.153,0.0,0.139,0.963,125.005,238707,5
"1,5,6,4",shania twain,that don't impress me much,chorus,0KvLsZYwodakWxOQUYAR5I,0.745,0.869,10,-4.828,0,0.0574,0.153,0.0,0.139,0.963,125.005,238707,5
"1,5,6,4",noam kaniel,a world without danger,intro,,,,,,,,,,,,,,
"1,5,6,4",renard,intensive care unit,bridge,,,,,,,,,,,,,,
"1,5,6,4",renard,intensive care unit,chorus,,,,,,,,,,,,,,
"1,5,6,4",inxs,beautiful girl,chorus,6N81xlWzMaEYhjHry55OSI,0.675,0.666,11,-6.067,1,0.027,0.0187,0.692,0.112,0.434,120.558,207547,4
"1,5,6,4",miley cyrus,wrecking ball,chorus,2vwlzO0Qp8kfEtzTsCXfyE,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,221360,4
"1,5,6,4",bush,glycerine,intro and verse,7wpYSigAhQeZp3cdsMQ3Af,0.437,0.337,5,-11.439,1,0.0326,0.0371,0.000946,0.0981,0.0784,114.239,266493,4
"1,5,6,4",taeyang,wedding dress,intro,3M0qHiwpoXUMffAS1CBB6M,0.728,0.669,0,-4.73,1,0.0346,0.122,0.0,0.129,0.707,133.961,242747,4
"1,5,6,4",patent pending,hey mario,chorus,5xi1cQu069UYBvcM26QEV0,0.691,0.674,9,-5.98,1,0.0621,0.0529,0.0,0.057,0.911,99.979,181584,4
"1,5,6,4",chris tomlin,our god,chorus,40lKptao1hxVqA7fd1OOGp,0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.216,105.066,285160,4
"1,5,6,4",bob dylan,don't think twice it's alright,intro and verse,,,,,,,,,,,,,,
"1,5,6,4",joan osborne,one of us,intro,1xNmF1Uep5OGutizZSbKvd,0.474,0.502,9,-7.988,1,0.0254,0.0136,1.31e-05,0.119,0.369,87.612,321400,4
"1,5,6,4",globus,europa,intro,5TXZj4GqauvRP86sAnU8cp,0.496,0.827,7,-9.463,1,0.0613,0.0435,1.24e-06,0.198,0.448,141.011,242547,4
"1,5,6,4",globus,europa,verse,5TXZj4GqauvRP86sAnU8cp,0.496,0.827,7,-9.463,1,0.0613,0.0435,1.24e-06,0.198,0.448,141.011,242547,4
"1,5,6,4",globus,europa,chorus,5TXZj4GqauvRP86sAnU8cp,0.496,0.827,7,-9.463,1,0.0613,0.0435,1.24e-06,0.198,0.448,141.011,242547,4
"1,5,6,4",globus,europa,chorus lead-out,5TXZj4GqauvRP86sAnU8cp,0.496,0.827,7,-9.463,1,0.0613,0.0435,1.24e-06,0.198,0.448,141.011,242547,4
"1,5,6,4",globus,europa,pre-chorus,5TXZj4GqauvRP86sAnU8cp,0.496,0.827,7,-9.463,1,0.0613,0.0435,1.24e-06,0.198,0.448,141.011,242547,4
"1,5,6,4",bruce rowland,jessica's theme,intro and verse,,,,,,,,,,,,,,
"1,5,6,4",steve winwood,higher love,chorus,7eLDSFTG6bJGZsYAF3LTv4,0.712,0.905,5,-5.774,1,0.042,0.0691,0.0201,0.499,0.942,98.601,256040,4
"1,5,6,4",danny mccarthy,silver scrapes,intro,3CtZB2dVuHWHXIGShH9jUK,0.603,0.687,7,-5.578,1,0.0374,0.00193,0.477,0.0676,0.234,140.042,116049,4
"1,5,6,4",danny mccarthy,silver scrapes,verse,3CtZB2dVuHWHXIGShH9jUK,0.603,0.687,7,-5.578,1,0.0374,0.00193,0.477,0.0676,0.234,140.042,116049,4
"1,5,6,4",gg feat gary wright and baby brown ,my my my,chorus,,,,,,,,,,,,,,
"1,5,6,4",klaas,heartbeat,intro and verse,5TbbfKlEIxuHZWKSeoMxA3,0.631,0.88,8,-4.158,1,0.046,0.000113,0.333,0.112,0.291,128.006,364219,4
"1,5,6,4",nigahiga,nice guys,chorus,,,,,,,,,,,,,,
"1,5,6,4",mayhem,eggs -furries in a blender rmx-,intro,,,,,,,,,,,,,,
"1,5,6,4",mayhem,eggs -furries in a blender rmx-,pre-chorus,,,,,,,,,,,,,,
"1,5,6,4",katy perry,unconditionally,verse,4fwbGKNExPtPHbor1TBSY4,0.397,0.725,7,-4.862,1,0.043,0.00266,0.0,0.208,0.358,128.861,228879,4
"1,5,6,4",neighborhood annoyance ,ice cream truck,solo,,,,,,,,,,,,,,
"1,5,6,4",josh groban,you raise me up,chorus,4TbNLKRLKlxZDlS0pu7Lsy,0.25,0.136,10,-12.162,1,0.037,0.673,0.000157,0.107,0.0981,118.086,292333,4
"1,5,6,4",the offspring,you're gonna go far kid,verse,,,,,,,,,,,,,,
"1,5,6,4",the offspring,you're gonna go far kid,pre-chorus and chorus,,,,,,,,,,,,,,
"1,5,6,4",bruce dickinson,tears of the dragon,chorus,1fvlJQrm3yoN2TpKH5FgiR,0.496,0.62,4,-7.458,0,0.0265,0.00386,1.47e-06,0.114,0.279,140.06,384013,4
"1,5,6,4",manowar,master of the wind,chorus,2rDIYysZGyx68TWlBdvjqk,0.336,0.121,4,-19.282,0,0.0341,0.391,0.0,0.0672,0.0395,119.376,326933,4
